,ds,Valor
719,2022-04-21,446.236216
720,2022-04-22,444.169595
721,2022-04-23,444.06058
722,2022-04-24,436.655832
723,2022-04-25,432.848211
724,2022-04-26,429.815269
725,2022-04-27,430.590121
726,2022-04-28,427.804854
727,2022-04-29,427.410889
728,2022-04-30,427.507535
729,2022-05-01,427.567763
730,2022-05-02,425.250704
731,2022-05-03,427.392708
732,2022-05-04,429.94606
733,2022-05-05,427.813553
734,2022-05-06,427.671143
735,2022-05-07,427.800353
736,2022-05-08,427.04306
737,2022-05-09,425.114979
738,2022-05-10,427.548515
739,2022-05-11,425.58717
740,2022-05-12,421.503351
741,2022-05-13,423.05455
742,2022-05-14,423.069861
743,2022-05-15,425.583627
744,2022-05-16,426.84088
745,2022-05-17,434.041126
746,2022-05-18,430.015248
747,2022-05-19,438.245638
748,2022-05-20,438.783226
749,2022-05-21,438.494399
750,2022-05-22,439.263702
751,2022-05-23,444.645537
752,2022-05-24,448.90001
753,2022-05-25,448.45731
754,2022-05-26,450.008342
755,2022-05-27,449.871766
756,2022-05-28,449.603194
757,2022-05-29,449.551132
758,2022-05-30,451.903486
759,2022-05-31,454.084366
760,2022-06-01,451.579699
761,2022-06-02,458.002862
762,2022-06-03,456.641577
763,2022-06-04,456.517318
764,2022-06-05,456.78584
765,2022-06-06,457.270277
766,2022-06-07,461.895544
767,2022-06-08,460.290547
768,2022-06-09,459.567456
769,2022-06-10,455.594856
770,2022-06-11,455.587918
771,2022-06-12,457.686945
772,2022-06-13,452.134549
773,2022-06-14,452.565229
774,2022-06-15,454.501067
775,2022-06-16,457.355562
776,2022-06-17,455.178962
777,2022-06-18,455.092759
778,2022-06-19,454.753836
779,2022-06-20,455.340529
780,2022-06-21,455.250568
781,2022-06-22,455.144422
782,2022-06-23,451.605016
783,2022-06-24,452.845081
784,2022-06-25,452.805037
785,2022-06-26,453.23929
786,2022-06-27,452.011908
787,2022-06-28,450.22891
788,2022-06-29,446.489237
789,2022-06-30,448.26362
790,2022-07-01,446.71669
791,2022-07-02,446.560024
792,2022-07-03,447.153045
793,2022-07-04,444.718563
794,2022-07-05,438.841057
795,2022-07-06,435.978016
796,2022-07-07,436.409833
797,2022-07-08,438.722649
798,2022-07-09,438.613292
799,2022-07-10,438.418346
800,2022-07-11,430.984007
801,2022-07-12,431.203245
802,2022-07-13,432.690647
803,2022-07-14,433.062611
804,2022-07-15,435.312618
805,2022-07-16,435.250539
806,2022-07-17,435.152568
807,2022-07-18,435.170338
808,2022-07-19,440.039173
809,2022-07-20,437.808398
810,2022-07-21,440.348496
811,2022-07-22,441.067255
812,2022-07-23,441.001277
813,2022-07-24,440.765309
814,2022-07-25,440.346425
815,2022-07-26,437.698822
816,2022-07-27,440.913826
817,2022-07-28,440.749983
818,2022-07-29,442.186446
819,2022-07-30,441.990621
820,2022-07-31,442.20272
821,2022-08-01,443.493676
822,2022-08-02,439.067259
823,2022-08-03,438.461964
824,2022-08-04,441.711641
825,2022-08-05,439.08654
826,2022-08-06,439.030432
827,2022-08-07,437.480312
828,2022-08-08,437.916547
829,2022-08-09,438.166293
830,2022-08-10,442.302166
831,2022-08-11,442.101364
832,2022-08-12,440.440108
833,2022-08-13,440.375252
834,2022-08-14,440.094052
835,2022-08-15,435.414374
836,2022-08-16,435.93665
837,2022-08-17,436.651559
838,2022-08-18,433.291225
839,2022-08-19,430.306858
840,2022-08-20,430.14707
841,2022-08-21,430.408586
842,2022-08-22,426.66833
843,2022-08-23,426.924852
844,2022-08-24,426.588597
845,2022-08-25,428.035341
846,2022-08-26,427.017331
847,2022-08-27,426.803377
848,2022-08-28,426.092289
849,2022-08-29,428.894034
850,2022-08-30,429.364387
851,2022-08-31,431.197716
852,2022-09-01,425.874354
853,2022-09-02,426.429742
854,2022-09-03,426.367846
855,2022-09-04,424.964391
856,2022-09-05,425.454537
857,2022-09-06,423.417427
858,2022-09-07,429.305975
859,2022-09-08,429.548963
860,2022-09-09,435.392152
861,2022-09-10,435.543926
862,2022-09-11,430.879991
863,2022-09-12,433.458716
864,2022-09-13,427.997025
865,2022-09-14,430.386757
866,2022-09-15,430.712567
867,2022-09-16,430.456124
868,2022-09-17,430.397997
869,2022-09-18,430.871035
870,2022-09-19,430.794715
871,2022-09-20,430.401195
872,2022-09-21,424.847289
873,2022-09-22,424.63279
874,2022-09-23,417.784287
875,2022-09-24,417.698586
876,2022-09-25,418.142514
877,2022-09-26,414.063875
878,2022-09-27,413.896576
879,2022-09-28,420.551333
880,2022-09-29,425.455333
881,2022-09-30,424.711764
882,2022-10-01,424.785046
